game_id,name,playtime_hours
489630,"Warhammer 40,000: Gladius - Relics of War",0.0
383270,Hue,0.0
1086940,Baldur's Gate 3,38.516666666666666
933110,Age of Empires III: Definitive Edition,0.0
2767030,Marvel Rivals,1.0333333333333334
2788440,A 20-year-old RPG Maker game remade with the latest RPG MAKER UNITE and available for free?! ~The Heroes of the RPG Maker series vs. the Demon Lord~,0.0
282800,100% Orange Juice,0.0
289130,ENDLESS™ Legend,0.0
247000,Talisman: Digital Classic Edition,0.0
1911390,Knightfall: A Daring Journey,0.0
1790600,DRAGON BALL: Sparking! ZERO,70.56666666666666
220,Half-Life 2,0.0
320,Half-Life 2: Deathmatch,0.0
360,Half-Life Deathmatch: Source,0.0
2246340,Monster Hunter Wilds,0.0
252410,SteamWorld Dig,0.0
1608450,Hellslave,0.0
49520,Borderlands 2,0.0
440,Team Fortress 2,12.083333333333334
570,Dota 2,5.433333333333334
