game_id,name,genres,developer,publisher,release_date,tags
33930,Arma 2: Operation Arrowhead,"Action, Simulation, Strategy",Bohemia Interactive,Bohemia Interactive,"29 Jun, 2010","Simulation, Military, Action, Multiplayer, Tactical, Realistic, Strategy, Shooter, FPS, Open World, War, Moddable, Co-op, Sandbox, Team-Based, First-Person, Singleplayer, Modern, Difficult, Third Person"
31270,Puzzle Agent,"Action, Adventure, Casual",Telltale,Telltale,"7 Jul, 2010","Puzzle, Adventure, Point & Click, Casual, Detective, Singleplayer, Mystery, Comedy, Surreal, Short, Action, Horror, Atmospheric, Funny, Hand-drawn, Touch-Friendly, 2D, Story Rich, Conspiracy, Interactive Fiction"
46440,Future Wars,Strategy,Radon Labs,Radon Labs,"15 Jul, 2010","Strategy, Turn-Based, Turn-Based Strategy, Indie, Singleplayer, Multiplayer"
24780,SimCity™ 4 Deluxe Edition,"Simulation, Strategy","EA - Maxis, Aspyr (Mac)","Electronic Arts, Aspyr (Mac)","20 Jul, 2010","City Builder, Immersive Sim, Base-Building, Building, Sandbox, Economy, Management, Strategy, God Game, Simulation, Isometric, Casual, Realistic, Family Friendly, Moddable, Atmospheric, Old School, Multiplayer, Singleplayer, Classic"
24640,Trainz: Classic Cabon City,Simulation,N3V Games,,"1 Sep, 2010","Simulation, Trains"
24650,Trainz Settle and Carlisle,Simulation,N3V Games,N3V Games,"1 Oct, 2010","Simulation, Trains"
24660,Trainz: Murchison 2,Simulation,N3V Games,N3V Games,,"Simulation, Trains"
42960,Victoria II,Strategy,Paradox Development Studio,Paradox Interactive,"30 Aug, 2010","Grand Strategy, Strategy, Historical, Political Sim, Politics, Economy, Simulation, Real-Time with Pause, Military, World War I, War, Sandbox, Singleplayer, RTS, Management, Alternate History, Multiplayer, Moddable, Diplomacy, Great Soundtrack"
50130,Mafia II (Classic),Action,2K Czech,2K,"22 Mar, 2011","Action, Open World, Crime, Story Rich, Atmospheric, Singleplayer, Third Person, Third-Person Shooter, Shooter, Automobile Sim, Great Soundtrack, Adventure, Driving, America, Classic, Music, Nudity, Multiplayer, Sandbox, 3D Vision"
1030830,Mafia II: Definitive Edition,"Action, Adventure","Hangar 13, D3T",2K,"19 May, 2020","Action, Adventure, Crime, Open World, Story Rich, Sexual Content, Nudity, Violent, Singleplayer, Third Person, Third-Person Shooter, Gore, Noir, Shooter, Atmospheric, Great Soundtrack, Mature, Classic, Action-Adventure, Remake"
48800,Ship Simulator Extremes,Simulation,VStep,Paradox Interactive,"27 Aug, 2010","Simulation, Realistic, Naval, Open World, Multiplayer, Singleplayer, Adventure, Driving"
22600,Worms Reloaded,Strategy,Team17 Digital Ltd,Team17 Digital Ltd,"26 Aug, 2010","Strategy, 2D, Turn-Based, Multiplayer, Local Multiplayer, Turn-Based Strategy, Funny, Classic, Online Co-Op, Comedy, Action, Local Co-Op, Team-Based, Singleplayer, Tactical, Competitive, Side Scroller, Co-op, 4 Player Local, Party"
38600,Faerie Solitaire,"Casual, Indie, RPG",Subsoap,Subsoap,"17 Sep, 2010","Solitaire, Casual, Board Game, Card Game, Tabletop, Cute, RPG, Relaxing, Puzzle, Colorful, Family Friendly, Fantasy, Dark Fantasy, Adventure, Singleplayer, Beautiful, Addictive, Epic, Great Soundtrack, Indie"
583930,Faerie Solitaire Remastered,Casual,Subsoap,Subsoap,"22 Dec, 2017","Card Game, Board Game, Puzzle, Fantasy, Indie, Relaxing, Mouse only, Replay Value, Turn-Based, Casual, Solitaire, Beautiful, RPG, Family Friendly, Singleplayer, Medieval, Colorful, Touch-Friendly, Cinematic, Hand-drawn"
70100,Hacker Evolution,Simulation,exosyphen studios,exosyphen studios,"14 Sep, 2010","Simulation, Hacking, Puzzle, Singleplayer, Text-Based, Strategy, Cyberpunk, Difficult, Indie, Action, Education, Exploration, Typing, Immersive Sim, 2D, Minimalist, Funny, Tactical, Time Management, Great Soundtrack"
70110,Hacker Evolution: Untold,"Indie, Simulation",exosyphen studios,exosyphen studios,"14 Sep, 2010","Simulation, Indie, Hacking, Singleplayer"
40350,Lost Horizon,Adventure,Animation Arts,Ravenscourt,"24 Sep, 2010","Adventure, Point & Click, War, Story Rich, Stylized, 1990's, Great Soundtrack, Retro, 2D, Puzzle, Classic, Singleplayer, Escape Room"
60600,ProtoGalaxy,"Action, Indie",Source Studio Ltd.,Source Studio Ltd.,"6 Oct, 2010","Indie, Action, Co-op"
2800,X2: The Threat,Strategy,Egosoft,Egosoft,"21 Jul, 2006","Space, Strategy, Simulation, Sci-fi, Singleplayer, Open World, Economy, Space Sim, Sandbox, Trading, Action, Flight, Exploration"
